"childid","catholic","race","race_white","race_black","race_hispanic","race_asian","p5numpla","p5hmage","p5hdage","w3daded","w3momed","w3daded_hsb","w3momed_hsb","w3momscr","w3dadscr","w3inccat","w3income","w3povrty","p5fstamp","c5r2mtsc"
"0451021C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,36,36,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,34.95,35.92,"$25,001 TO $30,000",27500.5,0,0,24.789
"0451022C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,34,33,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,34.95,39.2,"$30,001 TO $35,000",32500.5,0,0,35.596
"0451023C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,40,49,"SOME COLLEGE","BACHELOR'S DEGREE",0,0,38.18,39.2,"$50,001 TO $75,000",62500.5,0,0,63.897
"0451024C",0,"HISPANIC, RACE SPECIFIED",0,0,1,0,1,35,33,"SOME COLLEGE","VOC/TECH PROGRAM",0,1,57.83,39.2,"$50,001 TO $75,000",62500.5,0,0,32.773
"0451025C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,36,36,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,34.95,35.92,"$25,001 TO $30,000",27500.5,0,0,51.048
"0452001C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,38,43,"SOME COLLEGE","SOME COLLEGE",0,0,34.95,39.18,"$35,001 TO $40,000",37500.5,0,0,62.161
"0452002C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,48,49,"SOME COLLEGE","HIGH SCHOOL DIPLOMA/EQUIVALENT",0,1,38.18,39.2,"$50,001 TO $75,000",62500.5,0,0,53.459
"0452004C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,39,38,"GRADUATE/PROFESSIONAL SCHOOL-NO DEGREE","MASTER'S DEGREE (MA, MS)",0,0,53.5,63.43,"$75,001 TO $100,000",87500.5,0,0,44.708
"0452005C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,46,49,"GRADUATE/PROFESSIONAL SCHOOL-NO DEGREE","VOC/TECH PROGRAM",0,1,38.18,39.2,"$25,001 TO $30,000",27500.5,0,0,38.714
"0452006C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,41,39,"SOME COLLEGE","SOME COLLEGE",0,0,34.95,39.18,"$50,001 TO $75,000",62500.5,0,0,52.062
"0452008C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,40,NA,"NOT APPLICABLE","BACHELOR'S DEGREE",NA,0,38.18,NA,"$35,001 TO $40,000",37500.5,0,0,60.29
"0452009C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,38,NA,"NOT APPLICABLE","HIGH SCHOOL DIPLOMA/EQUIVALENT",NA,1,53.5,NA,"$40,001 TO $50,000",45000.5,0,0,55.881
"0452010C",1,"HISPANIC, RACE SPECIFIED",0,0,1,0,1,42,42,"SOME COLLEGE","VOC/TECH PROGRAM",0,1,34.95,39.18,"$50,001 TO $75,000",62500.5,0,0,40.321
"0452011C",1,"WHITE, NON-HISPANIC",1,0,0,0,2,33,NA,"NOT APPLICABLE","SOME COLLEGE",NA,0,61.56,NA,"$25,001 TO $30,000",27500.5,0,0,53.222
"0452012C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,NA,NA,"BACHELOR'S DEGREE","SOME COLLEGE",0,0,NA,NA,"$100,001 TO $200,000",150000.5,0,0,43.064
"0452014C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,43,41,"DOCTORATE OR PROFESSIONAL DEGREE","BACHELOR'S DEGREE",0,0,NA,53.5,"$100,001 TO $200,000",150000.5,0,0,59.753
"0452015C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,38,47,"VOC/TECH PROGRAM","SOME COLLEGE",1,0,37.67,53.5,"$50,001 TO $75,000",62500.5,0,0,57.396
"0452016C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,NA,33,"VOC/TECH PROGRAM","NOT APPLICABLE",1,NA,NA,34.95,"$15,001 TO $20,000",17500.5,1,0,58.654
"0452017C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,42,43,"HIGH SCHOOL DIPLOMA/EQUIVALENT","VOC/TECH PROGRAM",1,1,38.18,35.92,"$40,001 TO $50,000",45000.5,0,0,42.862
"0452018C",1,"WHITE, NON-HISPANIC",1,0,0,0,2,45,54,"BACHELOR'S DEGREE","GRADUATE/PROFESSIONAL SCHOOL-NO DEGREE",0,0,63.43,38.18,"$40,001 TO $50,000",45000.5,0,0,66.15
"0452019C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,38,39,"SOME COLLEGE","SOME COLLEGE",0,0,NA,35.63,"$30,001 TO $35,000",32500.5,0,0,59.232
"0452020C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,45,NA,"NOT APPLICABLE","SOME COLLEGE",NA,0,53.5,NA,"$100,001 TO $200,000",150000.5,0,0,58.55
"0452021C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,34,34,"SOME COLLEGE","BACHELOR'S DEGREE",0,0,53.5,35.92,"$30,001 TO $35,000",32500.5,0,0,51.905
"0452022C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,43,44,"GRADUATE/PROFESSIONAL SCHOOL-NO DEGREE","GRADUATE/PROFESSIONAL SCHOOL-NO DEGREE",0,0,38.18,53.5,"$50,001 TO $75,000",62500.5,0,0,63.886
"0452023C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,36,39,"HIGH SCHOOL DIPLOMA/EQUIVALENT","SOME COLLEGE",1,0,38.18,35.92,"$40,001 TO $50,000",45000.5,0,0,40.233
"0452024C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,39,40,"SOME COLLEGE","SOME COLLEGE",0,0,38.18,35.63,"$50,001 TO $75,000",62500.5,0,0,40.166
"0452025C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,38,43,"SOME COLLEGE","SOME COLLEGE",0,0,34.95,39.18,"$35,001 TO $40,000",37500.5,0,0,55.402
"0453001C",0,"ASIAN",0,0,0,1,1,33,35,"SOME COLLEGE","HIGH SCHOOL DIPLOMA/EQUIVALENT",0,1,33.42,33.42,"$50,001 TO $75,000",62500.5,0,0,55.569
"0453002C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,32,36,"SOME COLLEGE","HIGH SCHOOL DIPLOMA/EQUIVALENT",0,1,35.78,48.69,"$30,001 TO $35,000",32500.5,0,0,50.785
"0453004C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,39,42,"SOME COLLEGE","BACHELOR'S DEGREE",0,0,61.56,39.2,"$75,001 TO $100,000",87500.5,0,0,58.806
"0453006C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,39,41,"VOC/TECH PROGRAM","SOME COLLEGE",1,0,61.56,39.2,"$75,001 TO $100,000",87500.5,0,0,66.033
"0453007C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,31,32,"SOME COLLEGE","BACHELOR'S DEGREE",0,0,38.18,35.78,"$50,001 TO $75,000",62500.5,0,0,49.31
"0453010C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,41,43,"BACHELOR'S DEGREE","BACHELOR'S DEGREE",0,0,63.43,35.78,"$40,001 TO $50,000",45000.5,0,0,68.584
"0453011C",0,"HISPANIC, RACE SPECIFIED",0,0,1,0,1,39,47,"HIGH SCHOOL DIPLOMA/EQUIVALENT","9TH - 12TH GRADE",1,1,34.95,35.63,"$25,001 TO $30,000",27500.5,0,0,52.398
"0453012C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,47,49,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,38.18,39.2,"$75,001 TO $100,000",87500.5,0,0,60.73
"0453013C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,40,42,"HIGH SCHOOL DIPLOMA/EQUIVALENT","SOME COLLEGE",1,0,38.18,35.63,"$50,001 TO $75,000",62500.5,0,0,48.073
"0453014C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,22,37,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,34.95,35.78,"$20,001 TO $25,000",22500.5,0,0,47.22
"0453015C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,43,43,"BACHELOR'S DEGREE","BACHELOR'S DEGREE",0,0,34.95,34.95,"$40,001 TO $50,000",45000.5,0,0,51.861
"0453017C",0,"WHITE, NON-HISPANIC",1,0,0,0,2,39,37,"VOC/TECH PROGRAM","SOME COLLEGE",1,0,48.69,39.2,"$75,001 TO $100,000",87500.5,0,0,48.223
"0453020C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,42,47,"HIGH SCHOOL DIPLOMA/EQUIVALENT","MASTER'S DEGREE (MA, MS)",1,0,63.43,39.2,"$50,001 TO $75,000",62500.5,0,0,54.35
"0453021C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,42,44,"HIGH SCHOOL DIPLOMA/EQUIVALENT","SOME COLLEGE",1,0,61.56,39.2,"$50,001 TO $75,000",62500.5,0,0,43.844
"0453022C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,34,NA,"NOT APPLICABLE","SOME COLLEGE",NA,0,29.6,NA,"$15,001 TO $20,000",17500.5,1,1,57.934
"0454001C",0,"NATIVE HAWAIIAN, OTHER PACIFIC ISLANDER",0,0,0,0,1,41,NA,"NOT APPLICABLE","SOME COLLEGE",NA,0,38.18,NA,"$15,001 TO $20,000",17500.5,0,0,57.187
"0454002C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,42,46,"SOME COLLEGE","SOME COLLEGE",0,0,61.56,38.18,"$100,001 TO $200,000",150000.5,0,0,56.459
"0454003C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,35,35,"SOME COLLEGE","VOC/TECH PROGRAM",0,1,34.95,33.42,"$50,001 TO $75,000",62500.5,0,0,61.921
"0454006C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,30,33,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,38.18,33.42,"$50,001 TO $75,000",62500.5,0,0,43.732
"0454007C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,52,54,"BACHELOR'S DEGREE","SOME COLLEGE",0,0,52.54,72.1,"$50,001 TO $75,000",62500.5,0,0,49.782
"0454008C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,45,NA,"NOT APPLICABLE","BACHELOR'S DEGREE",NA,0,NA,NA,"$50,001 TO $75,000",62500.5,0,0,45.747
"0454009C",0,"WHITE, NON-HISPANIC",1,0,0,0,2,29,NA,"NOT APPLICABLE","HIGH SCHOOL DIPLOMA/EQUIVALENT",NA,1,34.95,NA,"$10,001 TO $15,000",12500.5,1,1,36.664
"0454010C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,35,35,"BACHELOR'S DEGREE","BACHELOR'S DEGREE",0,0,34.95,34.95,"$75,001 TO $100,000",87500.5,0,0,50.708
"0454011C",0,"WHITE, NON-HISPANIC",1,0,0,0,2,31,37,"9TH - 12TH GRADE","GRADUATE/PROFESSIONAL SCHOOL-NO DEGREE",1,0,38.18,34.95,"$40,001 TO $50,000",45000.5,0,0,51.897
"0454012C",0,"WHITE, NON-HISPANIC",1,0,0,0,2,NA,38,"SOME COLLEGE","NOT APPLICABLE",0,NA,NA,35.78,"$35,001 TO $40,000",37500.5,0,0,47.935
"0454014C",0,"HISPANIC, RACE NOT SPECIFIED",0,0,1,0,1,35,37,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,33.42,39.2,"$15,001 TO $20,000",17500.5,1,0,40.602
"0454015C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,27,28,"SOME COLLEGE","SOME COLLEGE",0,0,34.95,53.5,"$50,001 TO $75,000",62500.5,0,0,33.929
"0454016C",0,"HISPANIC, RACE SPECIFIED",0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.439
"0454017C",0,"WHITE, NON-HISPANIC",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.955
"0454018C",0,"HISPANIC, RACE SPECIFIED",0,0,1,0,1,32,34,"SOME COLLEGE","HIGH SCHOOL DIPLOMA/EQUIVALENT",0,1,34.95,29.6,"$25,001 TO $30,000",27500.5,0,0,45.386
"0454019C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,42,44,"DOCTORATE OR PROFESSIONAL DEGREE","BACHELOR'S DEGREE",0,0,NA,77.5,"$200,001 TO $200,001",200001,0,0,55.331
"0454020C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,43,44,"BACHELOR'S DEGREE","SOME COLLEGE",0,0,NA,52.54,"$50,001 TO $75,000",62500.5,0,0,51.231
"0454021C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,35,41,"BACHELOR'S DEGREE","BACHELOR'S DEGREE",0,0,63.43,59,"$35,001 TO $40,000",37500.5,0,0,48.294
"0454022C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,47,48,"SOME COLLEGE","HIGH SCHOOL DIPLOMA/EQUIVALENT",0,1,33.42,39.18,"$50,001 TO $75,000",62500.5,0,0,34.225
"0454023C",0,"WHITE, NON-HISPANIC",1,0,0,0,2,29,39,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,29.6,33.42,"$35,001 TO $40,000",37500.5,0,0,44.09
"0454024C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,35,36,"HIGH SCHOOL DIPLOMA/EQUIVALENT","SOME COLLEGE",1,0,38.18,39.18,"$50,001 TO $75,000",62500.5,0,0,50.691
"0454025C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,27,28,"SOME COLLEGE","SOME COLLEGE",0,0,34.95,53.5,"$50,001 TO $75,000",62500.5,0,0,35.212
"0455001C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,38,44,"SOME COLLEGE","BACHELOR'S DEGREE",0,0,53.5,39.2,"$100,001 TO $200,000",150000.5,0,0,48.916
"0455002C",0,"ASIAN",0,0,0,1,1,40,43,"MASTER'S DEGREE (MA, MS)","MASTER'S DEGREE (MA, MS)",0,0,35.78,64.89,"$75,001 TO $100,000",87500.5,0,0,77.567
"0455003C",0,"ASIAN",0,0,0,1,1,39,43,"DOCTORATE OR PROFESSIONAL DEGREE","MASTER'S DEGREE (MA, MS)",0,0,NA,53.5,"$200,001 TO $200,001",200001,0,0,60.732
"0455004C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,38,40,"VOC/TECH PROGRAM","MASTER'S DEGREE (MA, MS)",1,0,38.18,38.18,"$50,001 TO $75,000",62500.5,0,0,55.041
"0455006C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,38,38,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,38.18,39.18,"$25,001 TO $30,000",27500.5,0,0,63.091
"0455007C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,42,42,"SOME COLLEGE","SOME COLLEGE",0,0,53.5,33.42,"$75,001 TO $100,000",87500.5,0,0,49.3
"0455008C",0,"WHITE, NON-HISPANIC",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.152
"0455009C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,47,53,"MASTER'S DEGREE (MA, MS)","SOME COLLEGE",0,0,38.18,38.18,"$50,001 TO $75,000",62500.5,0,0,55.94
"0455010C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,30,32,"HIGH SCHOOL DIPLOMA/EQUIVALENT","SOME COLLEGE",1,0,34.95,35.92,"$50,001 TO $75,000",62500.5,0,0,46.855
"0455013C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,40,45,"BACHELOR'S DEGREE","SOME COLLEGE",0,0,34.95,53.5,"$40,001 TO $50,000",45000.5,0,0,61.045
"0455015C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,38,39,"HIGH SCHOOL DIPLOMA/EQUIVALENT","BACHELOR'S DEGREE",1,0,53.5,39.2,"$100,001 TO $200,000",150000.5,0,0,54.279
"0455016C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,41,45,"DOCTORATE OR PROFESSIONAL DEGREE","BACHELOR'S DEGREE",0,0,NA,77.5,"$100,001 TO $200,000",150000.5,0,0,60.052
"0455017C",0,"WHITE, NON-HISPANIC",1,0,0,0,2,40,41,"BACHELOR'S DEGREE","SOME COLLEGE",0,0,38.18,53.5,"$50,001 TO $75,000",62500.5,0,0,44.32
"0455019C",0,"WHITE, NON-HISPANIC",1,0,0,0,2,NA,38,"MASTER'S DEGREE (MA, MS)","NOT APPLICABLE",0,NA,NA,53.5,"$75,001 TO $100,000",87500.5,0,0,47.33
"0455022C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,36,38,"BACHELOR'S DEGREE","BACHELOR'S DEGREE",0,0,52.54,53.5,"$75,001 TO $100,000",87500.5,0,0,70.46
"0455023C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,31,32,"BACHELOR'S DEGREE","SOME COLLEGE",0,0,NA,53.5,"$50,001 TO $75,000",62500.5,0,0,43.598
"0455024C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,38,35,"BACHELOR'S DEGREE","BACHELOR'S DEGREE",0,0,38.18,33.42,"$50,001 TO $75,000",62500.5,0,0,57.158
"0456001C",0,"ASIAN",0,0,0,1,2,47,47,"HIGH SCHOOL DIPLOMA/EQUIVALENT","SOME COLLEGE",1,0,34.95,39.18,"$50,001 TO $75,000",62500.5,0,0,43.675
"0456002C",0,"ASIAN",0,0,0,1,1,40,43,"BACHELOR'S DEGREE","SOME COLLEGE",0,0,38.18,34.95,"$40,001 TO $50,000",45000.5,0,0,36.111
"0456003C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,39,44,"SOME COLLEGE","SOME COLLEGE",0,0,34.95,NA,"$5,001 TO $10,000",7500.5,1,1,60.682
"0456004C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,38,39,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,34.95,35.92,"$50,001 TO $75,000",62500.5,0,0,55.402
"0456005C",0,"HISPANIC, RACE SPECIFIED",0,0,1,0,1,27,NA,"NOT APPLICABLE","HIGH SCHOOL DIPLOMA/EQUIVALENT",NA,1,38.18,NA,"$5,000 TO $5,000",5000,1,1,45.695
"0456008C",0,"WHITE, NON-HISPANIC",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.871
"0456009C",0,"HISPANIC, RACE NOT SPECIFIED",0,0,1,0,1,42,37,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,34.95,35.92,"$50,001 TO $75,000",62500.5,0,0,38.431
"0456010C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,36,37,"HIGH SCHOOL DIPLOMA/EQUIVALENT","BACHELOR'S DEGREE",1,0,38.18,33.42,"$50,001 TO $75,000",62500.5,0,0,73.266
"0456012C",0,"AMERICAN INDIAN OR ALASKA NATIVE",0,0,0,0,1,32,39,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,35.92,NA,"$25,001 TO $30,000",27500.5,0,0,37.888
"0456013C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,38,45,"HIGH SCHOOL DIPLOMA/EQUIVALENT","MASTER'S DEGREE (MA, MS)",1,0,63.43,37.67,"$40,001 TO $50,000",45000.5,0,0,39.735
"0456014C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,41,NA,"NOT APPLICABLE","HIGH SCHOOL DIPLOMA/EQUIVALENT",NA,1,35.92,NA,"$15,001 TO $20,000",17500.5,0,0,34.972
"0456016C",0,"HISPANIC, RACE NOT SPECIFIED",0,0,1,0,1,40,43,"HIGH SCHOOL DIPLOMA/EQUIVALENT","SOME COLLEGE",1,0,35.78,38.18,"$50,001 TO $75,000",62500.5,0,0,42.326
"0456018C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,NA,40,"HIGH SCHOOL DIPLOMA/EQUIVALENT","NOT APPLICABLE",1,NA,NA,53.5,"$25,001 TO $30,000",27500.5,0,0,45.469
"0456019C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,40,41,"SOME COLLEGE","SOME COLLEGE",0,0,34.95,35.92,"$10,001 TO $15,000",12500.5,1,1,45.611
"0456021C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,29,27,"VOC/TECH PROGRAM","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,33.42,39.18,"$35,001 TO $40,000",37500.5,0,0,52.946
"0456022C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,33,30,"HIGH SCHOOL DIPLOMA/EQUIVALENT","BACHELOR'S DEGREE",1,0,38.18,35.92,"$40,001 TO $50,000",45000.5,0,0,45.013
"0456023C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,34,36,"HIGH SCHOOL DIPLOMA/EQUIVALENT","BACHELOR'S DEGREE",1,0,38.18,38.18,"$50,001 TO $75,000",62500.5,0,0,57.84
"0456024C",0,"MORE THAN ONE RACE, NON HISPANIC",0,0,0,0,NA,47,52,"SOME COLLEGE","SOME COLLEGE",0,0,NA,33.42,"$35,001 TO $40,000",37500.5,0,0,47.848
"0456040C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,44,42,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,33.42,33.42,"$50,001 TO $75,000",62500.5,0,0,33.276
"0458002C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,32,34,"HIGH SCHOOL DIPLOMA/EQUIVALENT","SOME COLLEGE",1,0,34.95,39.18,"$35,001 TO $40,000",37500.5,0,0,50.729
"0458003C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,28,28,"9TH - 12TH GRADE","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,NA,39.2,"$20,001 TO $25,000",22500.5,1,0,56.144
"0458005C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,40,38,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,34.95,33.42,"$20,001 TO $25,000",22500.5,1,0,62.803
"0458007C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,32,43,"HIGH SCHOOL DIPLOMA/EQUIVALENT","BACHELOR'S DEGREE",1,0,38.18,35.92,"$25,001 TO $30,000",27500.5,0,0,50.407
"0458009C",0,"HISPANIC, RACE SPECIFIED",0,0,1,0,1,30,33,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,38.18,29.6,"$40,001 TO $50,000",45000.5,0,0,52.669
"0458012C",0,"WHITE, NON-HISPANIC",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.287
"0458013C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,31,31,"SOME COLLEGE","SOME COLLEGE",0,0,38.18,29.6,"$40,001 TO $50,000",45000.5,0,0,40.874
"0458015C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,33,38,"BACHELOR'S DEGREE","HIGH SCHOOL DIPLOMA/EQUIVALENT",0,1,34.95,53.5,"$40,001 TO $50,000",45000.5,0,0,65.401
"0458018C",0,"WHITE, NON-HISPANIC",1,0,0,0,2,41,46,"MASTER'S DEGREE (MA, MS)","MASTER'S DEGREE (MA, MS)",0,0,61.56,72.1,"$40,001 TO $50,000",45000.5,0,0,56.238
"0460001C",0,"MORE THAN ONE RACE, NON HISPANIC",0,0,0,0,1,50,52,"DOCTORATE OR PROFESSIONAL DEGREE","BACHELOR'S DEGREE",0,0,53.5,59,"$40,001 TO $50,000",45000.5,0,0,52.512
"0460002C",0,"ASIAN",0,0,0,1,1,40,41,"DOCTORATE OR PROFESSIONAL DEGREE","MASTER'S DEGREE (MA, MS)",0,0,NA,77.5,"$75,001 TO $100,000",87500.5,0,0,50.524
"0460003C",0,"MORE THAN ONE RACE, NON HISPANIC",0,0,0,0,1,40,42,"DOCTORATE OR PROFESSIONAL DEGREE","GRADUATE/PROFESSIONAL SCHOOL-NO DEGREE",0,0,38.18,77.5,"$100,001 TO $200,000",150000.5,0,0,74.617
"0460004C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,30,32,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,35.78,35.78,"$25,001 TO $30,000",27500.5,0,0,51.075
"0460005C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,40,60,"DOCTORATE OR PROFESSIONAL DEGREE","MASTER'S DEGREE (MA, MS)",0,0,34.95,72.1,"$40,001 TO $50,000",45000.5,0,0,55.598
"0460006C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,32,33,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,NA,39.18,"$20,001 TO $25,000",22500.5,0,0,62.436
"0460007C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,46,48,"GRADUATE/PROFESSIONAL SCHOOL-NO DEGREE","BACHELOR'S DEGREE",0,0,53.5,53.5,"$75,001 TO $100,000",87500.5,0,0,56.632
"0460008C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,38,38,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,35.63,37.67,"$50,001 TO $75,000",62500.5,0,0,46.066
"0460009C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,43,41,"SOME COLLEGE","SOME COLLEGE",0,0,48.69,33.42,"$50,001 TO $75,000",62500.5,0,0,30.067
"0460010C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,43,46,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,33.42,33.42,"$50,001 TO $75,000",62500.5,0,0,63.233
"0460011C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,44,44,"MASTER'S DEGREE (MA, MS)","DOCTORATE OR PROFESSIONAL DEGREE",0,0,72.1,52.54,"$50,001 TO $75,000",62500.5,0,0,66.122
"0460012C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,35,37,"SOME COLLEGE","SOME COLLEGE",0,0,38.18,35.92,"$50,001 TO $75,000",62500.5,0,0,52.907
"0460013C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,41,42,"HIGH SCHOOL DIPLOMA/EQUIVALENT","SOME COLLEGE",1,0,34.95,53.5,"$40,001 TO $50,000",45000.5,0,0,61.189
"0460014C",0,"AMERICAN INDIAN OR ALASKA NATIVE",0,0,0,0,1,41,30,"9TH - 12TH GRADE","SOME COLLEGE",1,0,34.95,53.5,"$20,001 TO $25,000",22500.5,1,0,44.75
"0460015C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,40,38,"SOME COLLEGE","HIGH SCHOOL DIPLOMA/EQUIVALENT",0,1,33.42,35.78,"$50,001 TO $75,000",62500.5,0,0,54.19
